lookback,n_long,n_short,rebalance,total_return,cagr,sharpe,sortino,max_drawdown,calmar
21,3,2,3,-0.047537865382974664,-0.027816270722145098,0.07657732405116223,0.09443294606831015,-0.4602592993378767,-0.06043608627171953
21,3,2,6,0.008467364620406537,0.00489569567054815,0.17494452748266553,0.2224212289962521,-0.4427039461900023,0.011058622162014762
21,3,2,12,0.3759483846086875,0.20303982222556582,0.749012598838878,0.9700212838721289,-0.4144590155733743,0.4898911945362675
21,3,3,3,-0.06766015685353888,-0.03976608357033984,-0.010711285160671258,-0.014302729270085865,-0.4136160716734699,-0.0961425009658069
21,3,3,6,0.00650833649406346,0.0037645595449964375,0.14929355297686914,0.20227606091344297,-0.40931565420505556,0.009197203933740829
21,3,3,12,0.42941997340672744,0.229901755465868,0.9023662334715016,1.276691153686703,-0.3473153826060683,0.6619394561243115
21,3,5,3,-0.054358829105819906,-0.031854954948135505,-0.023196095634996333,-0.032417217580314045,-0.38484057287893525,-0.08277441931299839
21,3,5,6,0.07679395093859753,0.04378628675038687,0.3021675467227608,0.43649660524076656,-0.3624112903016229,0.12081932302369774
21,3,5,12,0.4406762941601656,0.23550225817865944,1.0394439624775507,1.5921323857888625,-0.2820815566624081,0.8348729387526239
21,5,2,3,-0.06932031042109776,-0.04075680442857088,0.02048782723369813,0.024308374620357818,-0.39341239586822285,-0.10359817041002123
21,5,2,6,0.03735338689797141,0.021468433813837562,0.2225202460358149,0.27322954419777257,-0.37776453048114056,0.056830199983291835
21,5,2,12,0.20353595972200722,0.11327600130507953,0.5118981858906296,0.6296467968293441,-0.3858359304192892,0.29358593219139056
21,5,3,3,-0.08873724536159588,-0.05239988107062865,-0.08471860482868486,-0.10834096067083494,-0.3339503082500873,-0.15690921606033567
21,5,3,6,0.03616389972262035,0.020789855087650855,0.20786013908644368,0.2698747943973487,-0.3384672353372121,0.0614235379886567
21,5,3,12,0.2520356218922948,0.13904462948364205,0.6512745575255684,0.86474429266072,-0.3289336129482736,0.4227133500810921
21,5,5,3,-0.07571298106337121,-0.04457868821133937,-0.11520081269705601,-0.15465666158380634,-0.30524717793771783,-0.14604127878435336
21,5,5,6,0.10854978493559941,0.06150670887248877,0.39437336671489787,0.5467471052900252,-0.2942873834997448,0.20900219418527027
21,5,5,12,0.2616553775903214,0.14410550283644974,0.7682548127470621,1.1002220858611695,-0.25525423853223683,0.5645567480684566
30,2,2,3,-0.1958584633243453,-0.11861133765840148,-0.20056972485019833,-0.2504894973437084,-0.4720701801982672,-0.25125784816271446
30,2,2,6,0.47607841568097387,0.2529974449825263,0.8421936084334579,1.0771132216531867,-0.31699964049225393,0.7981001006488789
30,2,2,12,1.3522073711985474,0.6412059124846765,1.6999005990635505,2.3168553898550814,-0.2458730765052317,2.607873629754793
30,2,3,3,-0.06716296968350965,-0.03946952434986395,0.003313132704466744,0.004346314239518254,-0.35838592258877966,-0.11013134685859913
30,2,3,6,0.37183352989784124,0.20095464313423017,0.7827631787352503,1.065640563395532,-0.2250091215122123,0.8930955411215337
30,2,3,12,0.8154314736014756,0.41255121726600796,1.357970201843853,1.8860291960507503,-0.20400116185887696,2.022298370787716
30,2,5,3,0.026590473987080365,0.015316422060817736,0.1843691350258173,0.263385543351175,-0.2511513623700281,0.06098482570941278
30,2,5,6,0.32110552902498424,0.17502860390450037,0.7778214428306465,1.1322698335420847,-0.21865857750335804,0.8004653003004758
